DateTime,IMEI,SD Card,HW Ver,Firm Ver,Air Temp,Air Pressure,AIr Humidity,Lead Wetness,Rain,Wind Die,Wind Speed,Soil Temp,P Soil Mois,S Soil Mois,Light Inten, Solar Radi,Remarks
02/08/21 17:31:16,862607058696617,OK,3.0,2.0,26.91,91201.13,57.9,100,1.12,NW,2.4,-9.0,6400,50,55,65,PASS
02/08/21 17:35:10,868922052637671,OK,3.0,2.0,26.81,91198.7,57.92,97,2.51,NW,3.84,-9.0,48,48,49,62,PASS
02/08/21 17:37:29,868922052637671,OK,3.0,2.0,26.76,91200.0,58.31,94,2.24,NW,5.76,-9.0,48,48,26,51,PASS
02/08/21 17:40:20,862607058709790,OK,3.0,2.0,26.77,91201.52,58.5,93,1.4,NW,5.76,-9.0,5945,47,27,51,PASS
02/08/21 17:43:01,862607058709790,OK,3.0,2.0,26.78,91200.33,58.64,92,1.12,NW,0.0,-9.0,6107,47,34,51,PASS
02/08/21 17:47:09,868922052637754,OK,3.0,2.0,26.74,91218.84,58.54,90,1.4,NW,0.0,-9.0,6264,49,79,65,PASS
02/08/21 17:56:50,862607058709857,OK,3.0,2.0,26.64,91219.89,60.01,88,1.12,NW,0.0,-9.0,6238,49,66,64,PASS
02/08/21 17:59:51,862607058694471,OK,3.0,2.0,26.65,91224.97,59.06,89,1.12,NW,0.0,-9.0,6045,47,79,63,PASS
02/08/21 18:04:35,862607058696856,OK,3.0,2.0,26.69,91236.62,58.46,88,1.12,NW,5.76,-9.0,6255,49,66,62,PASS
02/08/21 18:08:07,862607058696724,OK,3.0,2.0,26.66,91231.22,58.24,88,1.4,NW,5.76,-9.0,5925,46,60,61,PASS
02/08/21 18:11:31,868922052637705,OK,3.0,2.0,26.65,91246.11,58.41,87,1.4,NW,4.32,-9.0,6103,48,95,69,PASS
02/08/21 18:14:40,862607058709683,OK,3.0,2.0,26.61,91253.66,57.84,87,0.0,S,0.0,-9.0,49,49,86,68,PASS
02/08/21 18:16:59,862607058709683,OK,3.0,2.0,26.58,91253.33,57.42,87,1.4,NW,2.88,-9.0,6271,49,85,67,PASS
02/08/21 18:26:38,862607058695247,OK,3.0,2.0,26.56,91274.89,57.11,85,1.68,NW,3.36,-9.0,6147,48,43,57,PASS
02/08/21 18:29:45,868922052637671,OK,3.0,2.0,26.53,91281.24,57.09,86,1.4,NW,4.32,-9.0,5836,-1736236032,37,54,PASS
02/08/21 18:32:31,862607058696658,OK,3.0,2.0,26.54,91277.31,56.98,86,1.12,NW,5.28,-9.0,5840,45,35,51,PASS
03/08/21 10:36:12,862607058709642,OK,3.0,2.0,25.24,91528.45,66.51,0,2.51,NW,0.0,-9.0,6103,48,435,89,PASS
03/08/21 10:46:04,862607058709659,OK,3.0,2.0,24.94,91510.98,67.68,65,1.4,NW,0.0,-9.0,6400,50,807,92,PASS
03/08/21 10:48:55,868922052637820,OK,3.0,2.0,24.87,91510.33,67.94,1,1.96,NW,3.36,-9.0,6141,48,845,94,PASS
