DateTime,IMEI,SD Card,HW Ver,Firm Ver,Air Temp,Air Pressure,AIr Humidity,Lead Wetness,Rain,Wind Die,Wind Speed,Soil Temp,P Soil Mois,S Soil Mois,Light Inten, Solar Radi,Remarks
21/0721 11:28:35,868922052631575,OK,3.0,2.0,23.52,91202.98,76.5,93,1.4,NNW,1.44,-9.0,5484,47,32,60,PASS
21/0721 11:34:20,868922052631401,OK,3.0,2.0,23.54,91201.41,75.78,91,1.12,NNW,2.4,-9.0,5542,47,29,59,PASS
21/0721 11:37:05,868922052631401,OK,3.0,2.0,23.64,91199.72,75.29,91,1.4,N,1.92,-9.0,6834,47,35,63,PASS
21/0721 11:40:21,868922052636897,OK,3.0,2.0,23.73,91193.83,75.12,90,1.4,NNW,2.4,-9.0,6971,49,38,63,PASS
21/0721 11:47:06,868922052662588,OK,3.0,2.0,23.76,91190.34,75.67,89,1.4,NNW,1.92,-9.0,6962,49,29,59,PASS
21/0721 12:09:55,868922052631393,OK,3.0,2.0,23.88,91170.24,74.41,87,0.0,NNW,1.92,-9.0,6866,47,24,53,PASS
21/0721 12:12:53,868922052631393,OK,3.0,2.0,23.91,91161.37,74.27,87,1.96,NNW,1.92,-9.0,6886,47,22,51,PASS
21/0721 12:26:07,868922052663321,OK,3.0,2.0,23.87,91163.36,74.9,85,0.0,NNW,1.44,-9.0,6715,46,25,54,PASS
21/0721 12:27:28,868922052663321,OK,3.0,2.0,23.84,91161.49,75.04,87,1.4,NNW,2.4,-9.0,6838,46,25,55,PASS
21/0721 12:30:01,868922052637226,OK,3.0,2.0,23.8,91158.12,75.53,87,1.4,NNW,1.44,-9.0,7242,50,29,60,PASS
21/0721 12:32:25,862607058696849,OK,3.0,2.0,23.79,91164.65,75.64,87,1.96,NNW,1.92,-9.0,6803,47,28,58,PASS
21/0721 14:40:29,868922052631310,OK,3.0,2.0,23.65,91075.31,81.41,82,0.0,NNW,0.0,-9.0,6925,48,30,61,PASS
21/0721 14:41:58,868922052631310,OK,3.0,2.0,23.69,91069.89,81.91,84,1.4,NNW,6.72,-9.0,7108,48,33,63,PASS
21/0721 14:44:56,868922052631328,OK,3.0,2.0,23.7,91064.11,81.43,85,1.68,NNW,5.28,-9.0,7238,50,31,59,PASS
21/0721 14:47:39,868922052663602,OK,3.0,2.0,23.73,91071.34,81.39,85,1.4,NNW,6.24,-9.0,6650,46,28,58,PASS
21/0721 14:49:47,868922052631625,OK,3.0,2.0,23.75,91066.31,81.12,86,1.96,NNW,5.28,-9.0,7041,49,28,59,PASS
21/0721 14:54:35,868922052663586,OK,3.0,2.0,23.76,91059.78,80.61,86,1.68,N,8.64,-9.0,6775,47,29,58,PASS
21/0721 14:57:27,868922052631542,OK,3.0,2.0,23.76,91067.08,80.9,86,0.0,NNW,7.2,-9.0,6991,48,28,58,PASS
21/0721 14:58:52,868922052631542,OK,3.0,2.0,23.76,91051.0,81.78,86,1.12,NNW,8.64,-9.0,7172,49,28,58,PASS
21/0721 15:02:58,868922052636921,OK,3.0,2.0,23.72,91055.66,81.1,86,1.4,N,7.2,-9.0,6718,48,26,57,PASS
21/0721 15:06:02,868922052663438,OK,3.0,2.0,23.76,91062.47,82.12,86,1.68,N,8.16,-9.0,6737,47,25,56,PASS
21/0721 15:08:36,868922052631351,OK,3.0,2.0,23.76,91062.47,81.82,86,1.4,NNW,4.8,-9.0,6862,48,24,57,PASS
21/0721 15:11:27,868922052637010,OK,3.0,2.0,23.76,91062.47,82.1,86,1.12,NNW,7.2,-9.0,6613,46,32,63,PASS
21/0721 15:14:15,868922052663669,OK,3.0,2.0,23.76,91057.11,82.56,87,1.4,NNW,8.64,-9.0,6842,47,38,66,PASS
21/0721 15:17:00,868922052637093,OK,3.0,2.0,23.76,91049.06,82.57,87,1.12,NNW,0.0,-9.0,6962,49,34,63,PASS
21/0721 15:18:20,868922052637093,OK,3.0,2.0,23.77,91055.95,82.36,86,1.68,N,10.08,-9.0,7138,49,33,62,PASS
21/0721 18:39:30,868922052663636,OK,3.0,2.0,23.51,91076.31,80.96,77,1.68,NNW,6.24,-9.0,6858,48,21,53,PASS
21/0721 18:43:47,868922052663636,OK,3.0,2.0,23.5,91071.38,81.01,75,0.0,NNW,0.0,-9.0,6834,48,21,53,PASS
21/0721 19:15:21,868922052663636,OK,3.0,2.0,23.53,91110.75,80.74,76,0.0,NNW,0.0,-9.0,6799,48,21,51,PASS
